"original","protocol","sip","sport","dip","dport"
"TCP 122.52.233.7:27722->25.0.17.235:80","TCP","122.52.233.7","27722","25.0.17.235","80"
"TCP 122.52.238.22:54353->25.0.19.0:80","TCP","122.52.238.22","54353","25.0.19.0","80"
"TCP 213.184.20.105:31354->25.0.18.63:80","TCP","213.184.20.105","31354","25.0.18.63","80"
"TCP 122.52.233.245:27460->25.0.17.172:80","TCP","122.52.233.245","27460","25.0.17.172","80"
"TCP 213.184.19.30:8253->25.0.17.193:80","TCP","213.184.19.30","8253","25.0.17.193","80"
"TCP 12.166.6.216:55649->25.0.17.221:80","TCP","12.166.6.216","55649","25.0.17.221","80"
"TCP 80.66.17.117:50737->25.0.18.227:80","TCP","80.66.17.117","50737","25.0.18.227","80"
"TCP 213.184.20.87:41949->25.0.19.95:80","TCP","213.184.20.87","41949","25.0.19.95","80"
"TCP 12.166.8.29:24506->25.0.18.10:80","TCP","12.166.8.29","24506","25.0.18.10","80"
"TCP 80.66.18.241:13501->25.0.18.90:80","TCP","80.66.18.241","13501","25.0.18.90","80"
"TCP 213.184.19.125:18215->25.0.17.221:80","TCP","213.184.19.125","18215","25.0.17.221","80"
"TCP 213.184.19.230:11852->25.0.17.111:80","TCP","213.184.19.230","11852","25.0.17.111","80"
"TCP 122.52.248.207:24423->25.0.17.108:80","TCP","122.52.248.207","24423","25.0.17.108","80"
"TCP 213.184.21.68:52003->25.0.17.218:80","TCP","213.184.21.68","52003","25.0.17.218","80"
"TCP 122.52.239.224:63310->25.0.18.57:80","TCP","122.52.239.224","63310","25.0.18.57","80"
"TCP 213.184.22.149:31164->25.0.17.168:80","TCP","213.184.22.149","31164","25.0.17.168","80"
"TCP 122.52.230.74:25393->25.0.19.8:80","TCP","122.52.230.74","25393","25.0.19.8","80"
"TCP 12.166.6.183:51564->25.0.19.23:80","TCP","12.166.6.183","51564","25.0.19.23","80"
"TCP 12.166.8.38:29160->25.0.19.47:80","TCP","12.166.8.38","29160","25.0.19.47","80"
"TCP 80.66.19.83:25876->25.0.18.142:80","TCP","80.66.19.83","25876","25.0.18.142","80"
"TCP 12.166.6.209:51651->25.0.18.114:80","TCP","12.166.6.209","51651","25.0.18.114","80"
"TCP 80.66.15.44:24993->25.0.18.206:80","TCP","80.66.15.44","24993","25.0.18.206","80"
"TCP 213.184.21.25:20142->25.0.18.143:80","TCP","213.184.21.25","20142","25.0.18.143","80"
"TCP 80.66.14.219:27765->25.0.17.235:80","TCP","80.66.14.219","27765","25.0.17.235","80"
"TCP 80.66.16.151:9711->25.0.18.242:80","TCP","80.66.16.151","9711","25.0.18.242","80"
"TCP 213.184.21.92:7971->25.0.18.135:80","TCP","213.184.21.92","7971","25.0.18.135","80"
"TCP 80.66.14.183:51358->25.0.17.238:80","TCP","80.66.14.183","51358","25.0.17.238","80"
"TCP 12.166.7.40:4393->25.0.19.43:80","TCP","12.166.7.40","4393","25.0.19.43","80"
"TCP 213.184.20.207:21092->25.0.17.142:80","TCP","213.184.20.207","21092","25.0.17.142","80"
"TCP 12.166.6.249:64212->25.0.19.128:80","TCP","12.166.6.249","64212","25.0.19.128","80"
"TCP 12.166.7.93:30041->25.0.19.79:80","TCP","12.166.7.93","30041","25.0.19.79","80"
"TCP 80.66.19.23:64734->25.0.18.148:80","TCP","80.66.19.23","64734","25.0.18.148","80"
"TCP 122.52.250.132:15587->25.0.18.183:80","TCP","122.52.250.132","15587","25.0.18.183","80"
"TCP 80.66.18.235:31345->25.0.18.247:80","TCP","80.66.18.235","31345","25.0.18.247","80"
"TCP 12.166.6.182:33413->25.0.17.211:80","TCP","12.166.6.182","33413","25.0.17.211","80"
"TCP 122.52.242.204:50872->25.0.17.133:80","TCP","122.52.242.204","50872","25.0.17.133","80"
"TCP 122.52.247.42:28103->25.0.19.56:80","TCP","122.52.247.42","28103","25.0.19.56","80"
"TCP 80.66.16.172:40585->25.0.18.77:80","TCP","80.66.16.172","40585","25.0.18.77","80"
"TCP 213.184.20.121:15379->25.0.18.50:80","TCP","213.184.20.121","15379","25.0.18.50","80"
"TCP 213.184.21.111:33927->25.0.19.73:80","TCP","213.184.21.111","33927","25.0.19.73","80"
"TCP 12.166.7.77:39509->25.0.17.132:80","TCP","12.166.7.77","39509","25.0.17.132","80"
"TCP 12.166.7.186:12230->25.0.18.156:80","TCP","12.166.7.186","12230","25.0.18.156","80"
"TCP 122.52.231.208:41947->25.0.18.161:80","TCP","122.52.231.208","41947","25.0.18.161","80"
"TCP 12.166.6.206:48327->25.0.17.130:80","TCP","12.166.6.206","48327","25.0.17.130","80"
"TCP 80.66.19.47:54335->25.0.18.207:80","TCP","80.66.19.47","54335","25.0.18.207","80"
"TCP 12.166.7.128:42885->25.0.18.206:80","TCP","12.166.7.128","42885","25.0.18.206","80"
"TCP 122.52.248.248:15929->25.0.17.148:80","TCP","122.52.248.248","15929","25.0.17.148","80"
"TCP 80.66.18.184:47397->25.0.18.28:80","TCP","80.66.18.184","47397","25.0.18.28","80"
"TCP 213.184.20.155:20656->25.0.17.183:80","TCP","213.184.20.155","20656","25.0.17.183","80"
"TCP 213.184.20.174:39491->25.0.19.4:80","TCP","213.184.20.174","39491","25.0.19.4","80"
"TCP 213.184.18.254:56474->25.0.19.69:80","TCP","213.184.18.254","56474","25.0.19.69","80"
"TCP 12.166.6.251:49531->25.0.17.222:80","TCP","12.166.6.251","49531","25.0.17.222","80"
"TCP 122.52.231.209:56124->25.0.18.183:80","TCP","122.52.231.209","56124","25.0.18.183","80"
"TCP 80.66.19.58:32836->25.0.18.250:80","TCP","80.66.19.58","32836","25.0.18.250","80"
"TCP 122.52.253.242:30219->25.0.19.111:80","TCP","122.52.253.242","30219","25.0.19.111","80"
"TCP 12.166.7.74:13190->25.0.18.1:80","TCP","12.166.7.74","13190","25.0.18.1","80"
"TCP 213.184.20.210:27929->25.0.19.74:80","TCP","213.184.20.210","27929","25.0.19.74","80"
"TCP 80.66.17.110:10882->25.0.18.97:80","TCP","80.66.17.110","10882","25.0.18.97","80"
"TCP 12.166.7.5:64256->25.0.18.84:80","TCP","12.166.7.5","64256","25.0.18.84","80"
"TCP 12.166.7.66:24227->25.0.18.250:80","TCP","12.166.7.66","24227","25.0.18.250","80"
"TCP 122.52.243.155:47967->25.0.18.14:80","TCP","122.52.243.155","47967","25.0.18.14","80"
"TCP 122.52.229.183:64676->25.0.18.252:80","TCP","122.52.229.183","64676","25.0.18.252","80"
"TCP 12.166.7.217:59037->25.0.18.27:80","TCP","12.166.7.217","59037","25.0.18.27","80"
"TCP 122.52.230.175:44429->25.0.18.6:80","TCP","122.52.230.175","44429","25.0.18.6","80"
"TCP 122.52.240.78:45022->25.0.18.30:80","TCP","122.52.240.78","45022","25.0.18.30","80"
"TCP 12.166.6.193:27400->25.0.18.227:80","TCP","12.166.6.193","27400","25.0.18.227","80"
"TCP 12.166.7.184:41068->25.0.19.121:80","TCP","12.166.7.184","41068","25.0.19.121","80"
"TCP 213.184.21.43:23349->25.0.18.133:80","TCP","213.184.21.43","23349","25.0.18.133","80"
"TCP 213.184.22.140:2926->25.0.17.228:80","TCP","213.184.22.140","2926","25.0.17.228","80"
