"time","sip","dip","sport","dport","score","rank","original","type","label","y","TP","FP"
"2016-11-11 02:42:44","213.184.4.138","25.0.2.114",31078,25,0.00114324244043634,114268456,"TCP 213.184.4.138:31078->25.0.2.114:25","TCP","bad",1845,0.266734133294781,0.000358735615475539
"2016-11-11 02:42:44","213.184.4.138","25.0.2.114",31078,25,0.00114324244043634,114268456,"TCP 213.184.4.138:31078->25.0.2.114:25","TCP","bad",1846,0.26687870464074,0.000358735612336077
"2016-11-11 02:49:19","12.166.0.156","25.0.2.114",47313,25,0.00114324244043634,114268457,"TCP 12.166.0.156:47313->25.0.2.114:25","TCP","bad",1847,0.267023275986699,0.000358735612336077
"2016-11-11 02:49:19","12.166.0.156","25.0.2.114",47313,25,0.00114324244043634,114268457,"TCP 12.166.0.156:47313->25.0.2.114:25","TCP","bad",1848,0.267167847332659,0.000358735609196616
"2016-11-11 02:40:48","80.66.0.26","25.0.4.86",5569,25,0.00114324244043634,114268458,"TCP 80.66.0.26:5569->25.0.4.86:25","TCP","bad",1849,0.267312418678618,0.000358735609196616
"2016-11-11 02:40:48","80.66.0.26","25.0.4.86",5569,25,0.00114324244043634,114268458,"TCP 80.66.0.26:5569->25.0.4.86:25","TCP","bad",1850,0.267456990024577,0.000358735606057154
"2016-11-11 02:42:00","213.184.1.147","25.0.3.27",43571,25,0.00114324244043634,114268459,"TCP 213.184.1.147:43571->25.0.3.27:25","TCP","bad",1851,0.267601561370536,0.000358735606057154
"2016-11-11 02:42:00","213.184.1.147","25.0.3.27",43571,25,0.00114324244043634,114268459,"TCP 213.184.1.147:43571->25.0.3.27:25","TCP","bad",1852,0.267746132716496,0.000358735602917693
"2016-11-11 02:49:41","213.184.2.37","25.0.3.27",6474,25,0.00114324244043634,114268460,"TCP 213.184.2.37:6474->25.0.3.27:25","TCP","bad",1853,0.267890704062455,0.000358735602917693
"2016-11-11 02:49:41","213.184.2.37","25.0.3.27",6474,25,0.00114324244043634,114268460,"TCP 213.184.2.37:6474->25.0.3.27:25","TCP","bad",1854,0.268035275408414,0.000358735599778231
"2016-11-11 02:50:16","213.184.1.31","25.0.3.27",29089,25,0.00114324244043634,114268461,"TCP 213.184.1.31:29089->25.0.3.27:25","TCP","bad",1855,0.268179846754373,0.000358735599778231
"2016-11-11 02:50:16","213.184.1.31","25.0.3.27",29089,25,0.00114324244043634,114268461,"TCP 213.184.1.31:29089->25.0.3.27:25","TCP","bad",1856,0.268324418100333,0.00035873559663877
"2016-11-11 02:42:48","12.166.0.171","25.0.3.30",48776,25,0.00114324244043634,114268462,"TCP 12.166.0.171:48776->25.0.3.30:25","TCP","bad",1857,0.268468989446292,0.00035873559663877
"2016-11-11 02:42:48","12.166.0.171","25.0.3.30",48776,25,0.00114324244043634,114268462,"TCP 12.166.0.171:48776->25.0.3.30:25","TCP","bad",1858,0.268613560792251,0.000358735593499308
"2016-11-11 02:39:27","213.184.3.207","25.0.4.39",56873,25,0.00114324244043634,114268463,"TCP 213.184.3.207:56873->25.0.4.39:25","TCP","bad",1859,0.26875813213821,0.000358735593499308
"2016-11-11 02:39:27","213.184.3.207","25.0.4.39",56873,25,0.00114324244043634,114268463,"TCP 213.184.3.207:56873->25.0.4.39:25","TCP","bad",1860,0.268902703484169,0.000358735590359847
"2016-11-11 02:42:42","12.166.1.12","25.0.3.160",56133,25,0.00114324244043634,114268464,"TCP 12.166.1.12:56133->25.0.3.160:25","TCP","bad",1861,0.269047274830129,0.000358735590359847
"2016-11-11 02:42:42","12.166.1.12","25.0.3.160",56133,25,0.00114324244043634,114268464,"TCP 12.166.1.12:56133->25.0.3.160:25","TCP","bad",1862,0.269191846176088,0.000358735587220385
"2016-11-11 02:50:40","80.66.0.170","25.0.2.147",17555,25,0.00114324244043634,114268465,"TCP 80.66.0.170:17555->25.0.2.147:25","TCP","bad",1863,0.269336417522047,0.000358735587220385
"2016-11-11 02:50:40","80.66.0.170","25.0.2.147",17555,25,0.00114324244043634,114268465,"TCP 80.66.0.170:17555->25.0.2.147:25","TCP","bad",1864,0.269480988868006,0.000358735584080924
"2016-11-11 02:40:09","213.184.4.73","25.0.2.147",13205,25,0.00114324244043634,114268466,"TCP 213.184.4.73:13205->25.0.2.147:25","TCP","bad",1865,0.269625560213966,0.000358735584080924
"2016-11-11 02:40:09","213.184.4.73","25.0.2.147",13205,25,0.00114324244043634,114268466,"TCP 213.184.4.73:13205->25.0.2.147:25","TCP","bad",1866,0.269770131559925,0.000358735580941463
"2016-11-11 02:42:47","80.66.3.102","25.0.2.51",47420,25,0.00114324244043634,114268467,"TCP 80.66.3.102:47420->25.0.2.51:25","TCP","bad",1867,0.269914702905884,0.000358735580941463
"2016-11-11 02:42:47","80.66.3.102","25.0.2.51",47420,25,0.00114324244043634,114268467,"TCP 80.66.3.102:47420->25.0.2.51:25","TCP","bad",1868,0.270059274251843,0.000358735577802001
"2016-11-11 02:40:43","80.66.3.178","25.0.4.75",1218,25,0.00114324244043634,114268468,"TCP 80.66.3.178:1218->25.0.4.75:25","TCP","bad",1869,0.270203845597803,0.000358735577802001
"2016-11-11 02:40:43","80.66.3.178","25.0.4.75",1218,25,0.00114324244043634,114268468,"TCP 80.66.3.178:1218->25.0.4.75:25","TCP","bad",1870,0.270348416943762,0.00035873557466254
"2016-11-11 02:40:25","80.66.2.92","25.0.4.28",41178,25,0.00114324244043634,114268469,"TCP 80.66.2.92:41178->25.0.4.28:25","TCP","bad",1871,0.270492988289721,0.00035873557466254
"2016-11-11 02:40:25","80.66.2.92","25.0.4.28",41178,25,0.00114324244043634,114268469,"TCP 80.66.2.92:41178->25.0.4.28:25","TCP","bad",1872,0.27063755963568,0.000358735571523078
"2016-11-11 02:52:54","213.184.0.104","25.0.2.120",64129,25,0.00114324244043634,114268470,"TCP 213.184.0.104:64129->25.0.2.120:25","TCP","bad",1873,0.270782130981639,0.000358735571523078
"2016-11-11 02:52:54","213.184.0.104","25.0.2.120",64129,25,0.00114324244043634,114268470,"TCP 213.184.0.104:64129->25.0.2.120:25","TCP","bad",1874,0.270926702327599,0.000358735568383617
"2016-11-11 02:48:51","80.66.3.237","25.0.2.120",40255,25,0.00114324244043634,114268471,"TCP 80.66.3.237:40255->25.0.2.120:25","TCP","bad",1875,0.271071273673558,0.000358735568383617
"2016-11-11 02:48:51","80.66.3.237","25.0.2.120",40255,25,0.00114324244043634,114268471,"TCP 80.66.3.237:40255->25.0.2.120:25","TCP","bad",1876,0.271215845019517,0.000358735565244155
"2016-11-11 02:46:27","12.166.1.173","25.0.2.197",64484,25,0.00114324244043634,114268472,"TCP 12.166.1.173:64484->25.0.2.197:25","TCP","bad",1877,0.271360416365476,0.000358735565244155
"2016-11-11 02:46:27","12.166.1.173","25.0.2.197",64484,25,0.00114324244043634,114268472,"TCP 12.166.1.173:64484->25.0.2.197:25","TCP","bad",1878,0.271504987711436,0.000358735562104694
"2016-11-11 02:51:55","12.166.1.142","25.0.2.98",21918,25,0.00114324244043634,114268473,"TCP 12.166.1.142:21918->25.0.2.98:25","TCP","bad",1879,0.271649559057395,0.000358735562104694
"2016-11-11 02:51:55","12.166.1.142","25.0.2.98",21918,25,0.00114324244043634,114268473,"TCP 12.166.1.142:21918->25.0.2.98:25","TCP","bad",1880,0.271794130403354,0.000358735558965232
"2016-11-11 02:39:12","213.184.4.4","25.0.2.106",6438,25,0.00114324244043634,114268474,"TCP 213.184.4.4:6438->25.0.2.106:25","TCP","bad",1881,0.271938701749313,0.000358735558965232
"2016-11-11 02:39:12","213.184.4.4","25.0.2.106",6438,25,0.00114324244043634,114268474,"TCP 213.184.4.4:6438->25.0.2.106:25","TCP","bad",1882,0.272083273095273,0.000358735555825771
"2016-11-11 02:49:09","12.166.0.227","25.0.3.196",10975,25,0.00114324244043634,114268475,"TCP 12.166.0.227:10975->25.0.3.196:25","TCP","bad",1883,0.272227844441232,0.000358735555825771
"2016-11-11 02:49:09","12.166.0.227","25.0.3.196",10975,25,0.00114324244043634,114268475,"TCP 12.166.0.227:10975->25.0.3.196:25","TCP","bad",1884,0.272372415787191,0.000358735552686309
"2016-11-11 02:53:25","80.66.1.65","25.0.3.196",53865,25,0.00114324244043634,114268476,"TCP 80.66.1.65:53865->25.0.3.196:25","TCP","bad",1885,0.27251698713315,0.000358735552686309
"2016-11-11 02:53:25","80.66.1.65","25.0.3.196",53865,25,0.00114324244043634,114268476,"TCP 80.66.1.65:53865->25.0.3.196:25","TCP","bad",1886,0.272661558479109,0.000358735549546848
"2016-11-11 02:41:41","213.184.3.149","25.0.4.81",24921,25,0.00114324244043634,114268477,"TCP 213.184.3.149:24921->25.0.4.81:25","TCP","bad",1887,0.272806129825069,0.000358735549546848
"2016-11-11 02:41:41","213.184.3.149","25.0.4.81",24921,25,0.00114324244043634,114268477,"TCP 213.184.3.149:24921->25.0.4.81:25","TCP","bad",1888,0.272950701171028,0.000358735546407386
"2016-11-11 02:40:34","12.166.1.104","25.0.2.230",28697,25,0.00114324244043634,114268478,"TCP 12.166.1.104:28697->25.0.2.230:25","TCP","bad",1889,0.273095272516987,0.000358735546407386
"2016-11-11 02:40:34","12.166.1.104","25.0.2.230",28697,25,0.00114324244043634,114268478,"TCP 12.166.1.104:28697->25.0.2.230:25","TCP","bad",1890,0.273239843862946,0.000358735543267925
"2016-11-11 02:50:43","213.184.3.118","25.0.2.230",62999,25,0.00114324244043634,114268479,"TCP 213.184.3.118:62999->25.0.2.230:25","TCP","bad",1891,0.273384415208906,0.000358735543267925
