"time","sip","dip","sport","dport","score","rank","original","type","label","y","TP","FP"
"2016-11-11 02:37:08","213.184.3.36","25.0.3.18",36839,25,0.00118362713165844,116475494,"TCP 213.184.3.36:36839->25.0.3.18:25","TCP","bad",5170,0.747433858609224,0.000365654087514789
"2016-11-11 02:37:08","213.184.3.36","25.0.3.18",36839,25,0.00118362713165844,116475494,"TCP 213.184.3.36:36839->25.0.3.18:25","TCP","bad",5171,0.747578429955183,0.000365654084375327
"2016-11-11 02:35:54","213.184.3.99","25.0.3.18",31875,25,0.00118362713165844,116475495,"TCP 213.184.3.99:31875->25.0.3.18:25","TCP","bad",5172,0.747723001301142,0.000365654084375327
"2016-11-11 02:35:54","213.184.3.99","25.0.3.18",31875,25,0.00118362713165844,116475495,"TCP 213.184.3.99:31875->25.0.3.18:25","TCP","bad",5173,0.747867572647101,0.000365654081235866
"2016-11-11 02:36:57","12.166.0.219","25.0.4.80",16475,25,0.00118362713165844,116475496,"TCP 12.166.0.219:16475->25.0.4.80:25","TCP","bad",5174,0.748012143993061,0.000365654081235866
"2016-11-11 02:36:57","12.166.0.219","25.0.4.80",16475,25,0.00118362713165844,116475496,"TCP 12.166.0.219:16475->25.0.4.80:25","TCP","bad",5175,0.74815671533902,0.000365654078096404
"2016-11-11 02:38:43","12.166.0.122","25.0.4.80",13289,25,0.00118362713165844,116475497,"TCP 12.166.0.122:13289->25.0.4.80:25","TCP","bad",5176,0.748301286684979,0.000365654078096404
"2016-11-11 02:38:43","12.166.0.122","25.0.4.80",13289,25,0.00118362713165844,116475497,"TCP 12.166.0.122:13289->25.0.4.80:25","TCP","bad",5177,0.748445858030938,0.000365654074956943
"2016-11-11 02:37:26","213.184.3.247","25.0.2.86",41364,25,0.00118362713165844,116475498,"TCP 213.184.3.247:41364->25.0.2.86:25","TCP","bad",5178,0.748590429376897,0.000365654074956943
"2016-11-11 02:37:26","213.184.3.247","25.0.2.86",41364,25,0.00118362713165844,116475498,"TCP 213.184.3.247:41364->25.0.2.86:25","TCP","bad",5179,0.748735000722857,0.000365654071817482
"2016-11-11 02:36:33","80.66.1.116","25.0.4.45",40527,25,0.00118362713165844,116475499,"TCP 80.66.1.116:40527->25.0.4.45:25","TCP","bad",5180,0.748879572068816,0.000365654071817482
"2016-11-11 02:36:33","80.66.1.116","25.0.4.45",40527,25,0.00118362713165844,116475499,"TCP 80.66.1.116:40527->25.0.4.45:25","TCP","bad",5181,0.749024143414775,0.00036565406867802
"2016-11-11 02:37:56","80.66.4.107","25.0.2.153",36074,25,0.00118362713165844,116475500,"TCP 80.66.4.107:36074->25.0.2.153:25","TCP","bad",5182,0.749168714760734,0.00036565406867802
